postalcode,state_abbr,value
43223,OH,5
43224,OH,6
43227,OH,8
43228,OH,6
43229,OH,8
43230,OH,7
43231,OH,3
43232,OH,4
43235,OH,4
43240,OH,1
43302,OH,4
43310,OH,6
43311,OH,9
43314,OH,9
43315,OH,4
43316,OH,5
43317,OH,7
43318,OH,7
43319,OH,5
43320,OH,5
43321,OH,8
43322,OH,6
43323,OH,8
43324,OH,7
43326,OH,2
43330,OH,10
43331,OH,7
43332,OH,6
43333,OH,10
43334,OH,10
43337,OH,5
43338,OH,8
43340,OH,10
43341,OH,8
43342,OH,6
43343,OH,2
43344,OH,7
43345,OH,10
43347,OH,4
43348,OH,7
43350,OH,4
43351,OH,5
43356,OH,6
43357,OH,3
43358,OH,10
43359,OH,5
43360,OH,4
43402,OH,3
43403,OH,8
43406,OH,2
43407,OH,10
43408,OH,1
43410,OH,7
43412,OH,5
43413,OH,6
43416,OH,3
43420,OH,2
43430,OH,10
43431,OH,1
43432,OH,2
43433,OH,3
43434,OH,3
43435,OH,10
43436,OH,8
43437,OH,3
43438,OH,5
43439,OH,8
43440,OH,7
43442,OH,8
43443,OH,3
43445,OH,10
43446,OH,2
43447,OH,10
43449,OH,2
43450,OH,3
43451,OH,5
43452,OH,3
43456,OH,6
43457,OH,2
43458,OH,7
43460,OH,4
43462,OH,5
43463,OH,6
43464,OH,2
43465,OH,1
43466,OH,5
43467,OH,8
43468,OH,1
43469,OH,9
43501,OH,7
43502,OH,8
43504,OH,6
43505,OH,9
43506,OH,10
43510,OH,6
43511,OH,10
43512,OH,10
43515,OH,5
43516,OH,5
43517,OH,7
43518,OH,10
43521,OH,3
43522,OH,3
43524,OH,2
43525,OH,2
43526,OH,6
43527,OH,2
43528,OH,8
43529,OH,4
43531,OH,4
43532,OH,10
43533,OH,3
43534,OH,6
43535,OH,1
43536,OH,4
43537,OH,9
43540,OH,9
43541,OH,3
43542,OH,9
43543,OH,9
43545,OH,8
43547,OH,8
43548,OH,7
43549,OH,9
43551,OH,10
43553,OH,7
43554,OH,6
43555,OH,7
43556,OH,2
43557,OH,9
43558,OH,2
43560,OH,10
43565,OH,9
43566,OH,3
43567,OH,10
43569,OH,6
43570,OH,1
43571,OH,5
43604,OH,3
43605,OH,6
43606,OH,9
43607,OH,8
43608,OH,7
43609,OH,10
43610,OH,8
43611,OH,5
43612,OH,9
43613,OH,1
43614,OH,3
43615,OH,7
43616,OH,4
43617,OH,8
43619,OH,5
43620,OH,7
43623,OH,1
43701,OH,6
43713,OH,4
43716,OH,10
43717,OH,6
43718,OH,7
43719,OH,4
43720,OH,5
43721,OH,4
43722,OH,5
43723,OH,9
43724,OH,5
43725,OH,8
43727,OH,4
43728,OH,1
43730,OH,8
43731,OH,6
43732,OH,8
43733,OH,6
43734,OH,10
43735,OH,5
43739,OH,2
43740,OH,3
43746,OH,1
43747,OH,2
43748,OH,2
43749,OH,2
43750,OH,5
43754,OH,9
43755,OH,7
43756,OH,7
43758,OH,9
43759,OH,4
43760,OH,3
43761,OH,7
43762,OH,9
43764,OH,7
43766,OH,1
43767,OH,6
43768,OH,8
43771,OH,8
43772,OH,10
43773,OH,3
43777,OH,1
43778,OH,6
43779,OH,6
43780,OH,5
43782,OH,1
43783,OH,8
43786,OH,7
43787,OH,6
43788,OH,9
43791,OH,5
43793,OH,2
43802,OH,4
43804,OH,4
43805,OH,6
43811,OH,3
43812,OH,3
43821,OH,1
43822,OH,8
43824,OH,3
43830,OH,9
43832,OH,5
43836,OH,10
43837,OH,7
43840,OH,8
43842,OH,7
43843,OH,8
43844,OH,4
43845,OH,1
43901,OH,7
43902,OH,3
43903,OH,9
43906,OH,9
43907,OH,6
43908,OH,9
43910,OH,9
43912,OH,9
43913,OH,3
43914,OH,1
43915,OH,1
43917,OH,3
43920,OH,9
43925,OH,9
43926,OH,6
43928,OH,10
43930,OH,4
43931,OH,3
43932,OH,4
43933,OH,9
43935,OH,5
43938,OH,7
43939,OH,1
43942,OH,1
43943,OH,8
43944,OH,6
43945,OH,8
43946,OH,5
43947,OH,5
43950,OH,10
43952,OH,4
43953,OH,2
43961,OH,1
43962,OH,1
43963,OH,8
43964,OH,10
43968,OH,2
43970,OH,3
43971,OH,8
43973,OH,5
43974,OH,3
43976,OH,1
43977,OH,6
43981,OH,8
43983,OH,5
43985,OH,6
43986,OH,7
43988,OH,5
44001,OH,3
44003,OH,7
44004,OH,3
44010,OH,2
44011,OH,9
44012,OH,3
44017,OH,10
44021,OH,4
44022,OH,8
44023,OH,10
44024,OH,8
44026,OH,5
44028,OH,8
44030,OH,4
44032,OH,4
44035,OH,3
44039,OH,8
44040,OH,8
44041,OH,4
44044,OH,10
44045,OH,6
44046,OH,8
44047,OH,2
44048,OH,1
44049,OH,4
44050,OH,6
44052,OH,6
44053,OH,1
44054,OH,10
44055,OH,1
44056,OH,8
44057,OH,7
44060,OH,4
44062,OH,1
44064,OH,5
44065,OH,3
44067,OH,10
44070,OH,2
44072,OH,10
44074,OH,9
44076,OH,8
44077,OH,7
44080,OH,6
44081,OH,8
44082,OH,4
44084,OH,4
44085,OH,6
44086,OH,2
44087,OH,2
44088,OH,1
44089,OH,3
44090,OH,1
44092,OH,6
44093,OH,9
44094,OH,4
44095,OH,6
44099,OH,9
44102,OH,2
44103,OH,2
44104,OH,9
44105,OH,9
44106,OH,1
44107,OH,5
44108,OH,10
44109,OH,8
44110,OH,9
44111,OH,3
44112,OH,8
44113,OH,6
44114,OH,3
44115,OH,6
44116,OH,10
44117,OH,2
44118,OH,1
44119,OH,10
44120,OH,4
44121,OH,3
44122,OH,9
44123,OH,5
44124,OH,10
44125,OH,3
44126,OH,7
44127,OH,4
44128,OH,8
44129,OH,1
44130,OH,9
44131,OH,3
44132,OH,6
44133,OH,3
44134,OH,1
44135,OH,4
44136,OH,6
44137,OH,3
44138,OH,3
44139,OH,10
44140,OH,6
44141,OH,3
44142,OH,3
44143,OH,8
44144,OH,2
44145,OH,5
44146,OH,4
44147,OH,9
44149,OH,5
44201,OH,9
44202,OH,10
44203,OH,10
44212,OH,5
44214,OH,5
44215,OH,6
44216,OH,1
44217,OH,3
44221,OH,1
44223,OH,9
44224,OH,1
44230,OH,9
44231,OH,6
44233,OH,1
44234,OH,7
44235,OH,9
44236,OH,10
44240,OH,4
44241,OH,7
44243,OH,5
44250,OH,8
44251,OH,10
44253,OH,8
44254,OH,1
44255,OH,4
44256,OH,4
44260,OH,4
44262,OH,1
44264,OH,2
44266,OH,4
44270,OH,7
44272,OH,6
44273,OH,10
44275,OH,4
44276,OH,4
44278,OH,6
44280,OH,8
44281,OH,6
44286,OH,2
44287,OH,1
44288,OH,8
44301,OH,9
44302,OH,4
44303,OH,10
44304,OH,1
44305,OH,8
44306,OH,9
44307,OH,4
44308,OH,7
44310,OH,4
44311,OH,8
44312,OH,8
44313,OH,1
44314,OH,3
44319,OH,7
44320,OH,1
44321,OH,7
44325,OH,5
44333,OH,1
44401,OH,9
44402,OH,6
44403,OH,9
44404,OH,10
44405,OH,3
44406,OH,1
44408,OH,7
44410,OH,9
44411,OH,4
44412,OH,5
44413,OH,3
44416,OH,3
44417,OH,1
44418,OH,10
44420,OH,5
44423,OH,2
44425,OH,5
44427,OH,6
44428,OH,3
44429,OH,6
44430,OH,5
44431,OH,10
44432,OH,2
44436,OH,4
44437,OH,8
44438,OH,7
44440,OH,8
44441,OH,1
44442,OH,5
44443,OH,7
44444,OH,9
44445,OH,8
44446,OH,5
44449,OH,3
44450,OH,5
44451,OH,9
44452,OH,4
44454,OH,4
44455,OH,9
44460,OH,10
44470,OH,3
44471,OH,8
44473,OH,6
44481,OH,8
44483,OH,2
44484,OH,4
44485,OH,7
44490,OH,8
44491,OH,1
44502,OH,1
44503,OH,2
44504,OH,3
44505,OH,2
44506,OH,8
44507,OH,3
44509,OH,9
44510,OH,5
44511,OH,4
44512,OH,6
44514,OH,5
44515,OH,5
44601,OH,1
44606,OH,1
44608,OH,1
44609,OH,8
44610,OH,1
44611,OH,6
44612,OH,10
44613,OH,3
44614,OH,10
44615,OH,2
44618,OH,9
44619,OH,2
44620,OH,1
44621,OH,2
44622,OH,4
44624,OH,9
44625,OH,2
44626,OH,5
44627,OH,2
44628,OH,8
44629,OH,9
44632,OH,5
44633,OH,10
44634,OH,10
44637,OH,5
44638,OH,6
44640,OH,3
44641,OH,7
44643,OH,1
44644,OH,2
44645,OH,6
44646,OH,9
44647,OH,5
44651,OH,8
44653,OH,6
44654,OH,7
44656,OH,7
44657,OH,7
44659,OH,10
44661,OH,5
44662,OH,7
44663,OH,1
44666,OH,7
44667,OH,4
44669,OH,2
44670,OH,3
44671,OH,9
44672,OH,9
44675,OH,4
44676,OH,6
44677,OH,9
44678,OH,4
44680,OH,2
44681,OH,7
44682,OH,8
44683,OH,9
44685,OH,4
44687,OH,3
44688,OH,8
44689,OH,10
44690,OH,3
44691,OH,2
44693,OH,8
44695,OH,7
44699,OH,3
44702,OH,6
44703,OH,1
44704,OH,6
44705,OH,7
44706,OH,9
44707,OH,5
44708,OH,2
44709,OH,6
44710,OH,6
44714,OH,8
44718,OH,5
44720,OH,4
44721,OH,3
44730,OH,3
44802,OH,3
44804,OH,5
44805,OH,2
44807,OH,2
44809,OH,6
44811,OH,10
44813,OH,7
44814,OH,5
44815,OH,1
44817,OH,8
44818,OH,8
44820,OH,7
44822,OH,10
44824,OH,7
44825,OH,8
44826,OH,2
44827,OH,6
44828,OH,5
44830,OH,10
44833,OH,3
44836,OH,6
44837,OH,4
44838,OH,5
44839,OH,4
44840,OH,9
44841,OH,1
44842,OH,6
44843,OH,1
44844,OH,1
44846,OH,10
44847,OH,10
44849,OH,8
44851,OH,7
44853,OH,3
44854,OH,2
44855,OH,5
44857,OH,5
44859,OH,9
44860,OH,10
44861,OH,1
44864,OH,2
44865,OH,3
44866,OH,9
44867,OH,6
44870,OH,8
44875,OH,3
44878,OH,5
44880,OH,7
44882,OH,1
44883,OH,10
44887,OH,9
44889,OH,6
44890,OH,4
44902,OH,8
44903,OH,1
44904,OH,6
44905,OH,2
44906,OH,4
44907,OH,10
45001,OH,1
45002,OH,1
45003,OH,6
45005,OH,2
45011,OH,4
45013,OH,5
45014,OH,10
45015,OH,3
45030,OH,4
45033,OH,6
45034,OH,2
45036,OH,7
45039,OH,1
45040,OH,10
45041,OH,10
45042,OH,7
45044,OH,3
45050,OH,9
45052,OH,4
45053,OH,7
45054,OH,3
45056,OH,3
45064,OH,5
45065,OH,3
45066,OH,8
45067,OH,2
45068,OH,2
45069,OH,10
45070,OH,10
45101,OH,5
45102,OH,8
45103,OH,1
45106,OH,5
45107,OH,10
45111,OH,4
45112,OH,2
45113,OH,8
45115,OH,2
45118,OH,8
45119,OH,6
45120,OH,10
45121,OH,2
45122,OH,2
45123,OH,10
45130,OH,6
45131,OH,7
45133,OH,3
45135,OH,10
45140,OH,5
45142,OH,1
45144,OH,10
45146,OH,4
45148,OH,8
45150,OH,6
45152,OH,4
45153,OH,6
45154,OH,2
45157,OH,3
45158,OH,4
45159,OH,4
45160,OH,8
45162,OH,4
45164,OH,10
45166,OH,5
45167,OH,2
45168,OH,4
45169,OH,9
45171,OH,7
45172,OH,6
45174,OH,10
45176,OH,5
45177,OH,3
45202,OH,6
45203,OH,9
45204,OH,8
45205,OH,3
45206,OH,9
45207,OH,7
45208,OH,2
45209,OH,9
45211,OH,5
45212,OH,3
45213,OH,5
45214,OH,6
45215,OH,4
45216,OH,9
45217,OH,2
45218,OH,10
45219,OH,4
45220,OH,1
45221,OH,4
45223,OH,1
45224,OH,4
45225,OH,3
45226,OH,6
45227,OH,8
45229,OH,10
45230,OH,7
45231,OH,7
45232,OH,3
45233,OH,4
45236,OH,10
45237,OH,9
45238,OH,5
45239,OH,10
45240,OH,5
45241,OH,10
45242,OH,7
45243,OH,6
45244,OH,3
45245,OH,5
45246,OH,1
45247,OH,4
45248,OH,5
45249,OH,10
45251,OH,1
45252,OH,4
45255,OH,1
45301,OH,8
45302,OH,1
45303,OH,6
45304,OH,9
45305,OH,8
45306,OH,9
45308,OH,9
45309,OH,4
45310,OH,1
45311,OH,5
45312,OH,1
45314,OH,10
45315,OH,4
45316,OH,7
45317,OH,6
45318,OH,7
45319,OH,6
45320,OH,5
45321,OH,9
45322,OH,5
45323,OH,5
45324,OH,8
45325,OH,4
45326,OH,5
45327,OH,10
45328,OH,8
45330,OH,9
45331,OH,6
45332,OH,10
45333,OH,10
45334,OH,2
45335,OH,7
45336,OH,4
45337,OH,7
45338,OH,6
45339,OH,2
45340,OH,8
45341,OH,10
45342,OH,7
45344,OH,7
45345,OH,2
45346,OH,8
45347,OH,8
45348,OH,8
45349,OH,6
45350,OH,7
45351,OH,7
45352,OH,8
45353,OH,2
45354,OH,8
45356,OH,2
45358,OH,8
45359,OH,7
45360,OH,1
45362,OH,10
45363,OH,2
45365,OH,4
45368,OH,6
45369,OH,4
45370,OH,8
45371,OH,3
45372,OH,2
45373,OH,8
45377,OH,9
45378,OH,7
45380,OH,8
45381,OH,10
45382,OH,3
45383,OH,2
45384,OH,2
45385,OH,10
45387,OH,1
45388,OH,8
45389,OH,8
45390,OH,8
45402,OH,9
45403,OH,2
45404,OH,7
45405,OH,6
45406,OH,10
45409,OH,1
45410,OH,2
45414,OH,7
45415,OH,4
45416,OH,2
45417,OH,3
45419,OH,2
45420,OH,6
45424,OH,2
45426,OH,10
45428,OH,1
45429,OH,1
45430,OH,1
45431,OH,7
45432,OH,7
45433,OH,6
45434,OH,3
45435,OH,2
45439,OH,1
45440,OH,1
45449,OH,7
45458,OH,2
45459,OH,1
45469,OH,2
45502,OH,1
45503,OH,4
45504,OH,1
45505,OH,2
45506,OH,6
45601,OH,5
45612,OH,4
45613,OH,1
45614,OH,5
45616,OH,8
45619,OH,9
45620,OH,1
45621,OH,10
45622,OH,5
45623,OH,7
45628,OH,5
45629,OH,7
45630,OH,8
45631,OH,4
45634,OH,8
45638,OH,6
45640,OH,1
45644,OH,9
45645,OH,9
45646,OH,10
45647,OH,7
45648,OH,10
45650,OH,5
45651,OH,1
45652,OH,6
45653,OH,9
45654,OH,1
45656,OH,5
45657,OH,2
45658,OH,1
45659,OH,9
45660,OH,10
45661,OH,6
45662,OH,1
45663,OH,6
45669,OH,1
45671,OH,9
45672,OH,5
45673,OH,8
45674,OH,9
45678,OH,4
45679,OH,1
45680,OH,9
45681,OH,9
45682,OH,1
45684,OH,6
45685,OH,8
45686,OH,8
45688,OH,5
45690,OH,2
45692,OH,1
45693,OH,3
45694,OH,9
45695,OH,7
45696,OH,1
45697,OH,8
45698,OH,10
45701,OH,6
45710,OH,3
45711,OH,2
45712,OH,3
45714,OH,2
45715,OH,2
45716,OH,3
45719,OH,1
45721,OH,7
45723,OH,4
45724,OH,8
45727,OH,9
45729,OH,1
45732,OH,9
45734,OH,7
45735,OH,2
45740,OH,2
45741,OH,4
45742,OH,6
45743,OH,6
45744,OH,6
45745,OH,8
45746,OH,3
45750,OH,5
45760,OH,10
45761,OH,4
45764,OH,6
45766,OH,1
45767,OH,3
45768,OH,7
45769,OH,3
45770,OH,2
45771,OH,6
45772,OH,10
45773,OH,3
45775,OH,1
45776,OH,6
45778,OH,6
45779,OH,2
45780,OH,1
45782,OH,6
45784,OH,3
45786,OH,1
45788,OH,8
45789,OH,9
45801,OH,1
45804,OH,3
45805,OH,5
45806,OH,3
45807,OH,5
45808,OH,2
45809,OH,7
45810,OH,8
45812,OH,6
45813,OH,10
45814,OH,2
45816,OH,3
45817,OH,9
45819,OH,1
45820,OH,4
45821,OH,1
45822,OH,3
45826,OH,10
45827,OH,6
45828,OH,6
45830,OH,10
45831,OH,8
45832,OH,7
45833,OH,5
45835,OH,5
45836,OH,8
45840,OH,4
45841,OH,2
45843,OH,6
45844,OH,3
45845,OH,4
45846,OH,6
45849,OH,1
45850,OH,3
45851,OH,4
45853,OH,7
45854,OH,1
45855,OH,5
45856,OH,6
45858,OH,4
45859,OH,8
45860,OH,7
45861,OH,4
45862,OH,3
45863,OH,7
45864,OH,9
45865,OH,2
45866,OH,10
45867,OH,2
45868,OH,10
45869,OH,3
45870,OH,10
45871,OH,4
45872,OH,10
45873,OH,3
45874,OH,6
45875,OH,4
45876,OH,3
45877,OH,1
45879,OH,9
45880,OH,4
45881,OH,9
45882,OH,8
45883,OH,5
45885,OH,10
45886,OH,10
45887,OH,10
45889,OH,9
45890,OH,6
45891,OH,1
45893,OH,3
45894,OH,6
45895,OH,10
45896,OH,7
45897,OH,10
45898,OH,2
